ID,endID,crrdr_d,all_pa_area_sqkm,all_pa_pct_overlap,nPAs,LCP_length_km,nKBAs,biomass_mean,biomass_min,biomass_max,mean_m,min_m,max_m,range_m,nCountries,Countries,name,iso_a3,are_km2,endnode_elevrange_m,endnode_pct_protected,StartNode_areakm2,StartNode_elevrange_m
Port Honduras,H0135,CORR0966,18608.69156,51.0197729,7,186.006588,5,65.1447348,4.938000202,107.2269897,227.531428,2,2007,2005,3,"BLZ, GTM, HND",Belize,BLZ,36,911.2108154,99.97558008,5.017049484,19
Port Honduras,H0220,CORR0970,16909.40158,42.56242478,11,202.951082,5,74.26873432,4.938000202,126.2290726,284.9813572,2,1750,1748,2,"BLZ, GTM",Guatemala,GTM,753.9,1763,11.93223978,5.017049484,19
Port Honduras,H0176,CORR0969,13459.29447,38.03504555,7,180.7229512,5,73.29053713,4.938000202,126.2290726,169.9891289,2,1609,1607,2,"BLZ, GTM",Guatemala,GTM,5,581,0,5.017049484,19
Port Honduras,H0216,CORR0968,19587.87683,48.82319083,8,204.6824656,5,62.64862845,4.938000202,97.9184494,351.3386193,2,2140.258057,2138.258057,3,"BLZ, GTM, HND",Guatemala,GTM,15.1,824.4211426,100,5.017049484,19
Port Honduras,H0216,CORR0967,19196.09119,48.31850352,8,202.6872796,5,62.50037227,4.938000202,97.9184494,336.488308,2,2164,2162,3,"BLZ, GTM, HND",Guatemala,GTM,15.1,824.4211426,100,5.017049484,19
Isla Galeta,H0372,CORR1114,31800.3399,70.90611342,7,225.0502371,3,83.25396479,19.74095726,119.61866,206.6055057,5,1813,1808,1,PAN,Panama,PAN,5.9,459.3896484,0,5.029115517,35.24197769
Isla Galeta,H0377,CORR1112,31509.7164,74.69746572,7,211.571396,3,82.71670185,19.74095726,119.6304703,186.8762236,5,1607.741089,1602.741089,1,PAN,Panama,PAN,10.9,419.1104736,0,5.029115517,35.24197769
Isla Galeta,H0373,CORR1111,20689.88164,63.50485594,7,163.1622115,4,77.96542517,19.74095726,130.2148895,213.1828869,5,1594.310791,1589.310791,1,PAN,Panama,PAN,5.9,564,83.67962271,5.029115517,35.24197769
Isla Galeta,H0377,CORR1113,31509.7164,74.27054529,7,212.7742502,3,82.86091186,19.74095726,119.6304703,193.4178859,5,1617,1612,1,PAN,Panama,PAN,10.9,419.1104736,0,5.029115517,35.24197769
Isla Galeta,H0375,CORR1115,31800.3399,70.07690854,7,227.6861089,3,83.47597872,19.74095726,119.61866,223.444276,5,1719,1714,1,PAN,Panama,PAN,5,391,0,5.029115517,35.24197769
Monte Maria,H0124,CORR1177,13235.80868,23.71425544,8,286.340877,5,64.98967738,11.04415703,114.5543442,556.4143058,191,1723,1532,1,GTM,Guatemala,GTM,9.2,440,0,5.036361492,43
Monte Maria,H0134,CORR1179,13235.80868,22.83781066,8,297.3864131,5,65.83676795,11.04415703,119.3871307,593.7672079,191,1890,1699,1,GTM,Guatemala,GTM,39.4,616,1.170833796,5.036361492,43
Monte Maria,H0145,CORR1176,15002.09547,30.77147064,9,249.8123983,5,63.20933639,11.04415703,98.08113861,465.7224422,186,2463,2277,1,GTM,Guatemala,GTM,5,547,62.35078751,5.036361492,43
Monte Maria,H0176,CORR1178,17929.26035,35.72753266,10,257.3007548,5,68.79084611,10.01069355,126.2290726,367.4875339,3,1609,1606,1,GTM,Guatemala,GTM,5,581,0,5.036361492,43
Monte Maria,H0148,CORR1180,13235.80868,24.28823468,8,279.4763867,5,63.74653924,11.04415703,120.0671234,543.8417489,191,1772.581177,1581.581177,1,GTM,Guatemala,GTM,5.9,435,0,5.036361492,43
Ejido Puebla de Morelia,H0033,CORR1747,45709.12248,60.28654561,10,390.3826048,3,67.86203,3.888342381,117.862175,348.9091279,42,1714,1672,2,"GTM, MEX",Mexico,MEX,5,361,0,5.054844539,40
Ejido Puebla de Morelia,H0048,CORR1750,45709.12248,62.90052846,10,373.9293824,3,66.21241325,3.888342381,110.2702026,294.1851337,42,1699.957642,1657.957642,2,"GTM, MEX",Mexico,MEX,7.5,704.0334473,0,5.054844539,40
Ejido Puebla de Morelia,H0008,CORR1749,47704.31682,60.16910793,11,408.6446121,4,66.61874857,3.888342381,108.2663193,344.4225262,42,1833,1791,2,"GTM, MEX",Mexico,MEX,6.7,560,0,5.054844539,40
Ejido Puebla de Morelia,H0013,CORR1746,46573.16848,58.93337263,10,406.9760424,4,68.33337795,3.888342381,116.7990341,391.0731953,42,1852,1810,2,"GTM, MEX",Mexico,MEX,5,572,0,5.054844539,40
Ejido Puebla de Morelia,H0010,CORR1748,46573.16848,58.0805266,10,412.9930075,4,68.60788589,3.888342381,116.7990341,414.121629,42,2098.760498,2056.760498,2,"GTM, MEX",Mexico,MEX,16.8,765,0,5.054844539,40
Los Penas,H0148,CORR1205,12019.93148,24.53093445,4,252.3338818,5,71.22273436,5.608025074,123.7168655,352.368473,110,1753,1643,2,"GTM, MEX",Guatemala,GTM,5.9,435,0,5.067707628,37
Los Penas,H0124,CORR1201,12019.93148,26.88169527,4,230.2612074,4,69.71187291,5.608025074,107.6529312,254.6256018,110,1881,1771,2,"GTM, MEX",Guatemala,GTM,9.2,440,0,5.067707628,37
Los Penas,H0148,CORR1204,12019.93148,24.58452444,4,251.7782179,5,71.09450362,5.608025074,123.7168655,349.971553,110,1753,1643,2,"GTM, MEX",Guatemala,GTM,5.9,435,0,5.067707628,37
Los Penas,H0134,CORR1202,12300.27283,27.33663724,5,231.746724,4,70.8000614,5.608025074,107.6529312,258.7403923,110,1896,1786,2,"GTM, MEX",Guatemala,GTM,39.4,616,1.170833796,5.067707628,37
Los Penas,H0145,CORR1203,12319.35449,23.39584492,6,271.2058216,5,69.78902845,5.608025074,108.1398773,474.7578976,110,2362,2252,2,"GTM, MEX",Guatemala,GTM,5,547,62.35078751,5.067707628,37
El Higuerito,H0220,CORR1105,12180.80938,44.43863574,10,140.0912903,3,77.2602264,16.17236519,126.2290726,417.5188931,3,1750,1747,1,GTM,Guatemala,GTM,753.9,1763,11.93223978,5.095039811,225
El Higuerito,H0216,CORR1101,7564.536242,40.17094211,5,95.9562564,3,61.47264111,10.05439663,97.90441132,684.4076361,28,2164,2136,2,"GTM, HND",Guatemala,GTM,15.1,824.4211426,100,5.095039811,225
El Higuerito,H0135,CORR1103,8565.30265,49.45413302,4,88.27118383,3,69.48699058,7.277805328,107.2269897,578.9666137,22,2007,1985,2,"GTM, HND",Guatemala,GTM,36,911.2108154,99.97558008,5.095039811,225
El Higuerito,H0176,CORR1104,8730.702484,37.84687348,6,117.8631595,3,76.36394775,16.17236519,126.2290726,263.3786525,3,1609,1606,1,GTM,Guatemala,GTM,5,581,0,5.095039811,225
El Higuerito,H0216,CORR1102,7956.321873,41.39034544,5,97.95144246,3,61.78758809,10.05439663,97.90441132,708.4481077,28,2140.258057,2112.258057,2,"GTM, HND",Guatemala,GTM,15.1,824.4211426,100,5.095039811,225
Santa Ana,H0003,CORR2018,260.7868237,2.001041226,1,68.11136783,1,60.6109677,24.55514336,112.3816147,865.4929306,22,2133,2111,1,MEX,Mexico,MEX,5,640,0,5.106759453,22.97117233
Santa Ana,H0004,CORR2017,260.7868237,2.292452556,1,59.4049159,1,60.02105771,27.58371735,97.5549469,808.9612276,22,2082,2060,1,MEX,Mexico,MEX,86.3,999,1.234521848,5.106759453,22.97117233
Santa Ana,H0001,CORR2016,260.7868237,2.653749564,1,51.43606484,1,68.18749323,27.58371735,115.256813,805.8819964,22,2293,2271,1,MEX,Mexico,MEX,5,451,0,5.106759453,22.97117233
Santa Ana,H0006,CORR2020,260.7868237,1.711645659,1,79.79916795,1,70.18079932,16.46546936,119.5434494,1195.057399,22,2317,2295,1,MEX,Mexico,MEX,52.8,923.3167725,0,5.106759453,22.97117233
Santa Ana,H0006,CORR2019,260.7868237,1.874147593,1,72.85773858,1,70.01983122,25.96012878,119.5434494,1160.345134,22,2317,2295,1,MEX,Mexico,MEX,52.8,923.3167725,0,5.106759453,22.97117233
Penon de La Honda,H0372,CORR0669,20674.92112,44.15730774,7,235.39543,3,56.5053503,0.025020823,136.7779083,459.0566572,1,1813,1812,1,PAN,Panama,PAN,5.9,459.3896484,0,5.151666962,13
Penon de La Honda,H0375,CORR0670,20674.92112,43.86972252,7,236.9513812,3,56.72620931,0.025020823,136.7779083,455.394964,1,1719,1718,1,PAN,Panama,PAN,5,391,0,5.151666962,13
Penon de La Honda,H0377,CORR0668,20674.92112,47.00900487,7,221.1296457,3,54.01685865,0.025020823,136.7779083,389.6710303,1,1617,1616,1,PAN,Panama,PAN,10.9,419.1104736,0,5.151666962,13
Penon de La Honda,H0373,CORR0666,12811.16958,38.16317261,7,168.8476339,3,41.9090011,0.025020823,120.4606781,264.1580623,1,1594.310791,1593.310791,1,PAN,Panama,PAN,5.9,564,83.67962271,5.151666962,13
Penon de La Honda,H0377,CORR0667,20674.92112,47.26961315,7,219.9267915,3,53.75572921,0.025020823,136.7779083,384.4365195,1,1607.741089,1606.741089,1,PAN,Panama,PAN,10.9,419.1104736,0,5.151666962,13
Quebrada Azul,H0216,CORR1156,12259.83177,51.43483257,11,121.5199484,3,61.86441799,10.05439663,98.54673004,546.5525796,1,2164,2163,2,"GTM, HND",Guatemala,GTM,15.1,824.4211426,100,5.164574252,98
Quebrada Azul,H0216,CORR1157,12651.6174,52.22018713,11,123.5151345,3,62.10791468,10.05439663,98.54673004,567.8788364,1,2140.258057,2139.258057,2,"GTM, HND",Guatemala,GTM,15.1,824.4211426,100,5.164574252,98
Quebrada Azul,H0176,CORR1158,5519.258026,29.58889812,6,95.2765431,3,78.32729353,18.87491226,126.2290726,300.7561635,3,1609,1606,1,GTM,Guatemala,GTM,5,581,0,5.164574252,98
Quebrada Azul,H0135,CORR1159,13590.54759,60.70819635,9,114.1105715,3,67.64988934,7.277805328,107.2269897,346.7938874,3,2007,2004,2,"GTM, HND",Guatemala,GTM,36,911.2108154,99.97558008,5.164574252,98
Quebrada Azul,H0220,CORR1160,8969.364919,39.00563179,10,117.5046739,3,79.01259314,18.87491226,126.2290726,479.1641697,3,1750,1747,1,GTM,Guatemala,GTM,753.9,1763,11.93223978,5.164574252,98
Dona Chanita Flor de la Pasion,H0145,CORR1093,750.2917682,2.936571735,2,131.2098682,3,59.099681,10.64366436,102.8488541,642.1773028,128.7023926,2463,2334.297607,1,GTM,Guatemala,GTM,5,547,62.35078751,5.172397422,29
